Team,Player
West Ham United,M. Lanzini
West Ham United,P. Zabaleta
Liverpool,V. van Dijk
West Bromwich Albion,J. Rodriguez
Chelsea,O. Giroud
Chelsea,A. Christensen
Chelsea,D. Zappacosta
Chelsea,E. Hazard
West Bromwich Albion,J. Evans
Chelsea,Pedro
Southampton,J. Ward-Prowse
Liverpool,G. Wijnaldum
Southampton,P. Hojbjerg
Southampton,W. Hoedt
Manchester United,A. Young
Manchester United,M. Carrick
Liverpool,A. Robertson
Huddersfield Town,M. Jorgensen
AFC Bournemouth,J. Ibe
Huddersfield Town,A. Mooy
Huddersfield Town,T. Ince
AFC Bournemouth,L. Mousset
Huddersfield Town,P. Billing
AFC Bournemouth,L. Cook
Arsenal,A. Lacazette
Arsenal,M. Ozil
Stoke City,Jese
Watford,A. Mariappa
West Ham United,Joao Mario
West Ham United,C. Kouyate
Crystal Palace,J. Ward
Crystal Palace,C. Benteke
Crystal Palace,Y. Cabaye
Everton,T. Davies
Everton,I. Gueye
Watford,Richarlison
Watford,D. Lukebakio
Brighton & Hove Albion,S. March
Stoke City,E. Choupo-Moting
Stoke City,K. Zouma
Manchester City,R. Sterling
Everton,O. Niasse
Manchester City,S. Aguero
Manchester City,N. Otamendi
Manchester City,I. Gundogan
Manchester City,Fernandinho
Manchester City,K. De Bruyne
Leicester City,J. Vardy
Manchester City,Bernardo Silva
Burnley,S. Vokes
Swansea City,K. Naughton
Swansea City,T. Carroll
Swansea City,T. Abraham
Swansea City,J. Ayew
Burnley,B. Mee
Burnley,J. Hendrick
Arsenal,J. Wilshere
Arsenal,Bellerin
Tottenham Hotspur,M. Dembele
Tottenham Hotspur,Heung-Min Son
Tottenham Hotspur,E. Dier
Tottenham Hotspur,E. Lamela
Tottenham Hotspur,K. Trippier
Tottenham Hotspur,J. Vertonghen
West Ham United,Javier Hernandez
Crystal Palace,L. Milivojevic
Watford,R. Pereyra
Watford,D. Janmaat
Chelsea,Fabregas
Crystal Palace,W. Zaha
Newcastle United,I. Hayden
Newcastle United,M. Diame
Tottenham Hotspur,V. Wanyama
Manchester City,Danilo
West Bromwich Albion,Ahmed Hegazi
AFC Bournemouth,J. King
Everton,D. Calvert-Lewin
Arsenal,A. Ramsey
Arsenal,L. Koscielny
Arsenal,P. Aubameyang
Southampton,S. Boufal
Arsenal,Nacho Monreal
Arsenal,G. Xhaka
Arsenal,H. Mkhitaryan
Arsenal,S. Mustafi
Stoke City,P. Crouch
Stoke City,J. Allen
Everton,E. Mangala
Everton,T. Walcott
Everton,R. Martina
Leicester City,D. Gray
Leicester City,F. Diabate
Burnley,K. Long
Manchester United,S. McTominay
Manchester United,C. Smalling
Huddersfield Town,L. Depoitre
Manchester United,A. Valencia
Manchester City,V. Kompany
West Ham United,S. Byram
West Bromwich Albion,M. Phillips
West Bromwich Albion,D. Sturridge
Southampton,S. Long
Brighton & Hove Albion,B. Kayal
Chelsea,C. Hudson-Odoi
Chelsea,A. Rudiger
Southampton,S. Davis
Southampton,R. Bertrand
Southampton,Cedric Soares
Southampton,Oriol Romeu
Chelsea,T. Bakayoko
Chelsea,G. Cahill
Chelsea,R. Barkley
Burnley,G. N'Koudou
Everton,S. Coleman
Newcastle United,Joselu
Newcastle United,Mikel Merino
Manchester City,David Silva
Stoke City,M. Bauer
Watford,T. Cleverley
Newcastle United,J. Lascelles
Burnley,K. Darlow
Tottenham Hotspur,P. Jones
Stoke City,R. Shawcross
Manchester City,K. Walker
Manchester City,O. Zinchenko
Manchester City,Brahim Diaz
Liverpool,J. Milner
West Ham United,A. Ogbonna
West Ham United,A. Cresswell
Crystal Palace,T. Fosu-Mensah
West Ham United,D. Rice
Swansea City,L. Fer
Arsenal,A. Iwobi
Swansea City,A. Mawson
Crystal Palace,M. Kelly
West Ham United,M. Noble
Huddersfield Town,C. Lowe
Liverpool,J. Matip
Liverpool,J. Gomez
Liverpool,D. Ings
Tottenham Hotspur,M. Sissoko
Southampton,M. Obafemi
Southampton,D. Sanchez
West Ham United,Pedro Obiang
Huddersfield Town,J. Hogg
Huddersfield Town,C. Quaner
Watford,A. Gray
Watford,A. Carrillo
Watford,B. Watson
Leicester City,S. Okazaki
Chelsea,M. Batshuayi
Chelsea,David Luiz
Chelsea,N. Kante
Brighton & Hove Albion,T. Hemed
Arsenal,Mohamed Elneny
Manchester City,L. Sane
Manchester City,J. Stones
Newcastle United,C. Clark
Newcastle United,Jacob Murphy
Crystal Palace,B. Sako
Everton,M. Holgate
Burnley,J. Tarkowski
Everton,M. Schneiderlin
Everton,J. Kenny
Everton,Y. Bolasie
Manchester United,L. Shaw
Manchester United,Mata
Stoke City,S. Ireland
Stoke City,Ramadan Sobhi
Manchester United,M. Rashford
Arsenal,D. Welbeck
Arsenal,A. Maitland-Niles
Huddersfield Town,J. Lolley
Everton,J. McCarthy
Brighton & Hove Albion,Bruno Saltor
Burnley,J. Cork
Swansea City,W. Bony
Swansea City,O. McBurnie
Watford,S. Okaka
Huddersfield Town,S. Malone
Newcastle United,P. Dummett
Swansea City,K. Bartley
Huddersfield Town,C. Schindler
Watford,M. Wague
Watford,C. Kabasele
Brighton & Hove Albion,G. Bong
Tottenham Hotspur,Llorente
West Ham United,A. Ayew
West Ham United,A. Carroll
Swansea City,L. Narsingh
West Ham United,A. Masuaku
Swansea City,Renato Sanches
West Bromwich Albion,C. Yacob
Leicester City,C. Fuchs
Stoke City,K. Wimmer
Liverpool,D. Lovren
AFC Bournemouth,M. Pugh
AFC Bournemouth,S. Francis
AFC Bournemouth,H. Arter
Leicester City,I. Slimani
Liverpool,T. Alexander-Arnold
Manchester United,M. Rojo
Burnley,S. Defour
Liverpool,D. Solanke
Burnley,S. Arfield
Everton,N. Vlasic
Manchester United,Ander Herrera
Liverpool,R. Klavan
West Bromwich Albion,H. Robson-Kanu
Manchester City,Gabriel Jesus
Manchester City,Y. Toure
Stoke City,S. Berahino
Chelsea,Azpilicueta
Burnley,P. Bardsley
Swansea City,Roque Mesa
Manchester United,N. Matic
Burnley,N. Wells
Liverpool,Philippe Coutinho
AFC Bournemouth,B. Afobe
Crystal Palace,R. Loftus-Cheek
Crystal Palace,J. Schlupp
Newcastle United,R. Aarons
Leicester City,W. Morgan
Watford,K. Schmeichel
Leicester City,L. Ulloa
Southampton,M. Yoshida
West Bromwich Albion,K. Gibbs
Manchester United,Z. Ibrahimovic
Southampton,C. Austin
Newcastle United,H. Saivet
Newcastle United,D. Yedlin
Burnley,C. Wood
Crystal Palace,S. Dann
Stoke City,D. Fletcher
West Bromwich Albion,J. Livermore
Brighton & Hove Albion,C. Goldson
Everton,A. Lookman
Huddersfield Town,E. Kachunga
West Ham United,D. Sakho
Leicester City,Iborra
Leicester City,A. King
Tottenham Hotspur,D. Rose
Newcastle United,F. Lejeune
Liverpool,J. Henderson
Leicester City,D. Simpson
Huddersfield Town,T. Smith
AFC Bournemouth,A. Surman
Crystal Palace,M. Sakho
Southampton,J. Pied
Manchester City,F. Delph
West Bromwich Albion,S. Field
Burnley,R. Brady
Brighton & Hove Albion,D. Stephens
Arsenal,S. Kolasinac
Everton,K. Mirallas
Watford,W. Hughes
Tottenham Hotspur,H. Winks
Newcastle United,A. Mitrovic
Watford,M. Britos
West Ham United,W. Reid
Everton,L. Baines
Liverpool,Alberto Moreno
Everton,Sandro Ramirez
Huddersfield Town,A. Sabiri
Burnley,S. Ward
Manchester United,M. Fellaini
Newcastle United,Javi Manquillo
Everton,P. Jagielka
Tottenham Hotspur,T. Alderweireld
Arsenal,P. Mertesacker
West Ham United,Jose Fonte
Swansea City,W. Routledge
Stoke City,G. Cameron
West Bromwich Albion,A. Nyom
West Bromwich Albion,N. Chadli
Brighton & Hove Albion,I. Brown
Chelsea,C. Musonda
Manchester United,M. Darmian
Burnley,M. Lowton
Crystal Palace,J. Puncheon
Crystal Palace,J. Riedewald
Newcastle United,Jesus Gamez
Manchester City,B. Mendy
Manchester United,E. Bailly
Newcastle United,C. Mbemba
West Bromwich Albion,J. Morrison
Watford,N. Chalobah
Brighton & Hove Albion,L. Rosenior
Crystal Palace,L. Lumeka
Arsenal,F. Coquelin
Stoke City,E. Pieters
Arsenal,R. Holding
West Ham United,E. Fernandes
Huddersfield Town,K. Palmer
Crystal Palace,Chung-Yong Lee
Brighton & Hove Albion,J. Murphy
Watford,N. Amrabat
Burnley,J. Walters
Manchester United,D. Blind
Stoke City,Bojan
Everton,D. Klaassen
Watford,Y. Kaboul
